service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
2.253,3.2880000000000003,3.926,0.067,0.285,0.71,0.006,0.067,0.124,0.30412371134020616,0.7680412371134021,0.2371134020618557,58,113,27,169,210,199,0.002
2.753,4.856,6.095,0.039,0.244,0.716,0.006,0.049,0.124,0.2936936936936937,0.7567567567567568,0.25225225225225223,157,40,162,72,210,197,0.002
2.1180000000000003,4.441,5.846,0.039,0.182,0.6759999999999999,0.004,0.03,0.105,0.18226120857699804,1.0029239766081872,0.009746588693957114,161,133,64,51,210,190,0.002
2.1180000000000003,4.441,5.846,0.039,0.182,0.6759999999999999,0.004,0.03,0.105,0.18226120857699804,1.0029239766081872,0.009746588693957114,62,181,193,197,210,192,0.002
1.955,3.843,5.7,0.022000000000000002,0.142,0.56,0.004,0.021,0.09699999999999999,0.13095238095238096,1.0049019607843137,0.0028011204481792717,159,148,158,149,210,193,0.002
1.729,3.253,5.553999999999999,0.018000000000000002,0.124,0.523,0.004,0.018000000000000002,0.09,0.1025219298245614,0.9994517543859648,0.004934210526315789,67,44,197,152,210,195,0.002
1.729,3.108,5.553999999999999,0.022000000000000002,0.124,0.503,0.004,0.021,0.09300000000000001,0.08381891528462572,0.9950694755714926,0.009861048857014791,67,44,197,152,210,197,0.002
1.729,2.951,5.349,0.022000000000000002,0.142,0.409,0.004,0.021,0.09,0.07102164830991264,0.9867071781238133,0.017470565894417017,111,67,154,150,210,190,0.002
1.729,2.8510000000000004,5.349,0.022000000000000002,0.142,0.409,0.004,0.021,0.09699999999999999,0.06159420289855073,0.99901185770751,0.00461133069828722,197,133,90,36,210,198,0.002
1.729,2.8510000000000004,5.349,0.022000000000000002,0.142,0.409,0.004,0.021,0.09699999999999999,0.06159420289855073,0.99901185770751,0.00461133069828722,82,155,27,182,210,193,0.002
1.729,2.753,5.256,0.022000000000000002,0.13,0.361,0.004,0.021,0.09300000000000001,0.05450306033226465,0.9988341591372778,0.0043719032352083935,119,148,137,114,210,193,0.002
1.624,2.753,5.092,0.022000000000000002,0.124,0.348,0.004,0.018000000000000002,0.09,0.04877412623891497,1.0005216484089725,0.002347417840375587,119,148,137,114,210,193,0.002
1.624,2.753,5.092,0.022000000000000002,0.124,0.348,0.004,0.021,0.09,0.04412458706937235,0.9997640396413404,0.002831524303916942,169,60,180,85,210,198,0.002
1.624,2.6889999999999996,4.856,0.022000000000000002,0.124,0.315,0.004,0.021,0.09699999999999999,0.0403277981453526,0.9993530299762776,0.003019193444037093,40,101,127,159,210,195,0.002
1.5719999999999998,2.648,4.856,0.022000000000000002,0.124,0.315,0.004,0.021,0.09,0.03702970297029703,0.9934653465346536,0.008712871287128714,57,186,29,52,210,197,0.002
1.5719999999999998,2.648,4.856,0.022000000000000002,0.124,0.315,0.004,0.021,0.09,0.03702970297029703,0.9934653465346536,0.008712871287128714,154,39,42,114,210,197,0.002
1.5719999999999998,2.614,4.856,0.022000000000000002,0.113,0.315,0.004,0.021,0.096,0.03432452276064611,0.999265785609398,0.0025697503671071953,119,135,174,114,210,192,0.002
1.5719999999999998,2.614,4.713,0.022000000000000002,0.113,0.302,0.004,0.021,0.092,0.03197127714139169,0.9979483672422635,0.0039322961189947,119,135,174,114,210,193,0.002
1.5719999999999998,2.542,4.713,0.022000000000000002,0.113,0.285,0.004,0.021,0.09,0.029915213565829463,1.0001599744040954,0.0015997440409534474,84,34,169,43,210,190,0.002
1.5719999999999998,2.542,4.713,0.022000000000000002,0.113,0.285,0.003,0.021,0.09,0.02809073156076311,0.9990986931050022,0.0025537028691602825,61,76,181,59,210,191,0.002
1.5719999999999998,2.542,4.633,0.022000000000000002,0.107,0.285,0.003,0.021,0.09,0.026498512115629872,0.9987246705398894,0.002834065466912285,68,120,91,85,210,192,0.002
1.5719999999999998,2.542,4.633,0.022000000000000002,0.107,0.285,0.003,0.021,0.09,0.026498512115629872,0.9987246705398894,0.002834065466912285,137,193,98,28,210,197,0.002
1.624,2.614,4.633,0.022000000000000002,0.107,0.285,0.003,0.018000000000000002,0.087,0.025046879185641576,0.9987945352263596,0.002678810608090008,158,160,62,140,210,190,0.002
1.624,2.614,4.633,0.022000000000000002,0.113,0.271,0.003,0.018000000000000002,0.087,0.02376111817026684,0.9998729351969504,0.0015247776365946632,158,160,62,140,210,198,0.002
1.624,2.648,4.633,0.022000000000000002,0.113,0.285,0.003,0.021,0.087,0.02260365042910673,0.9991538740481084,0.0021757524477215035,78,132,170,52,210,197,0.002
1.624,2.614,4.441,0.022000000000000002,0.113,0.285,0.003,0.021,0.087,0.02156614000691962,1.0009226156152693,0.00034598085572598315,55,37,70,99,210,195,0.002
1.624,2.614,4.441,0.022000000000000002,0.113,0.285,0.003,0.021,0.087,0.02156614000691962,1.0009226156152693,0.00034598085572598315,120,185,161,48,210,190,0.002
1.4809999999999999,2.614,4.441,0.022000000000000002,0.113,0.285,0.003,0.018000000000000002,0.087,0.020612874779541445,0.9994488536155204,0.001763668430335097,95,171,91,137,210,198,0.002
1.536,2.574,4.441,0.018000000000000002,0.114,0.28300000000000003,0.003,0.021,0.09,0.019746568109820485,0.9985216473072862,0.002639915522703273,28,149,117,198,210,196,0.002
1.6469999999999998,2.574,4.441,0.018000000000000002,0.114,0.28300000000000003,0.003,0.021,0.09,0.01893862669637432,0.9965566133279321,0.00435487137938019,28,149,117,198,210,197,0.002
1.6469999999999998,2.6510000000000002,4.441,0.018000000000000002,0.114,0.28300000000000003,0.003,0.021,0.09,0.01816945200155461,0.9998056743101438,0.0012631169840652931,186,99,167,182,210,195,0.002
1.6469999999999998,2.574,4.205,0.018000000000000002,0.114,0.275,0.003,0.021,0.09,0.017492984097287185,0.9997193638914874,0.0013096351730589337,163,149,179,183,210,191,0.002
1.6469999999999998,2.574,4.205,0.018000000000000002,0.114,0.275,0.003,0.021,0.09,0.017492984097287185,0.9997193638914874,0.0013096351730589337,105,114,148,113,210,199,0.002
1.6469999999999998,2.574,4.205,0.018000000000000002,0.114,0.275,0.003,0.021,0.09,0.0168605175367415,0.9990983680461636,0.0018934271030565323,87,46,183,98,210,198,0.002
1.536,2.574,4.205,0.018000000000000002,0.114,0.268,0.003,0.018000000000000002,0.087,0.016272189349112426,1.0006091193873998,0.0003480682213713888,87,46,183,98,210,194,0.002
1.536,2.54,4.205,0.018000000000000002,0.114,0.268,0.003,0.018000000000000002,0.087,0.01572485704675412,1.0003363605785405,0.0005886310124453414,120,64,90,94,210,196,0.002
1.536,2.54,4.205,0.018000000000000002,0.114,0.268,0.003,0.018000000000000002,0.087,0.015211909216627347,0.9987797933783454,0.0021150248108679735,173,82,124,153,210,199,0.002
1.536,2.574,4.205,0.018000000000000002,0.114,0.268,0.003,0.018000000000000002,0.087,0.014740658994166798,0.9988175941983288,0.002049503389563298,141,194,141,166,210,199,0.002
1.536,2.574,4.205,0.018000000000000002,0.114,0.268,0.003,0.018000000000000002,0.087,0.014740658994166798,0.9988175941983288,0.002049503389563298,63,163,31,129,210,197,0.002
1.6469999999999998,2.6510000000000002,4.205,0.018000000000000002,0.114,0.268,0.003,0.018000000000000002,0.087,0.01427698885326004,0.9988547869903802,0.001985035883340968,116,182,135,184,210,196,0.002
1.6469999999999998,2.6510000000000002,4.205,0.018000000000000002,0.114,0.28300000000000003,0.003,0.018000000000000002,0.085,0.013855957320687609,0.9975548310610552,0.003037937166567872,116,182,135,184,210,192,0.002
1.6469999999999998,2.753,4.205,0.018000000000000002,0.114,0.28300000000000003,0.003,0.021,0.085,0.013455173406245505,0.9968340768455892,0.003957403943013384,78,110,198,89,210,192,0.002
1.6469999999999998,2.753,4.205,0.026000000000000002,0.124,0.315,0.003,0.021,0.085,0.013057747364010892,0.9927379372948816,0.008030165491236646,200,140,36,66,210,198,0.002
1.6469999999999998,2.753,5.553999999999999,0.026000000000000002,0.124,0.345,0.003,0.021,0.09,0.015320142896400109,0.9914124759549326,0.009618026930475405,165,191,93,45,210,193,0.002
1.6469999999999998,2.753,5.553999999999999,0.026000000000000002,0.132,0.345,0.003,0.021,0.085,0.015320142896400109,1.0288540807914262,0.0019923055784556195,69,163,87,197,210,193,0.002
